keggid,name,formula,pubchemID,smile,fp,cid
cpd:C00181,D-Xylose,C5H10O5,3481,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000000000111000000100000100001000000000000010001000110000101100100100010110001010001110,135191.0
cpd:C00103,D-Glucose 1-phosphate,C6H13O9P,3403,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,00000000000000000000000000000100000000000001000010000110010000000000010010000000001000000111000000100010001001001000000000011011001110000101100100101010110101010001110,65533.0
cpd:C00817,D-Altronate,C6H12O7,4075,C([C@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000000110000001100000100000111101010000100,439315.0
cpd:C00558,D-Tagaturonate,C6H10O7,3838,C(C1([C@H]([C@H]([C@H](O1)C(=O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001100000111000010000000100001001000000000010001000110000101100100100010111101010000110,439264.0
cpd:C00470,Pectate,C12H18O13(C6H8O6)n-2,3753,[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]2C(=O)O)O[C@@H]3[C@@H]([C@H](C(O[C@@H]3C(=O)O)O)O)O)O)O)C(=O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000000000100000000100000000000000000000010010011000100001101100101100010101001010001110,24892720.0
cpd:C00433,"2,5-Dioxopentanoate",C5H6O4,3722,C(CC(=O)C(=O)O)C=O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000011000000000000000000000000001000010000000010001001100000110000101101010000100,523.0
cpd:C03826,2-Dehydro-3-deoxy-D-xylonate,C5H8O5,6569,C([C@@H](CO)O)C(=O)C(=O)O,00000000000000000000000000000000000000000000000000000010000000000000000010000000001000000110000000000000100001000000000000010000000110001001100000100000111101010000100,5280626.0
cpd:C00029,UDP-glucose,C15H24N2O17P2,3331,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,00000000000000000000000000000100000001000000000010000110010000100100010010010100101101000111100111100010001001101100010011111011001111001111101111101011111111110111110,8629.0
cpd:C06118,4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate,C12H16O12,8378,C1=C(O[C@@H]([C@@H]([C@H]1O)O)O[C@@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)O)O)O)O)C(=O)O,00000000000000000000000000000000000000000000000000000110010000000000000010001000000000000100000000110000000000000000000010010011000100001101100101100010101001010001110,440470.0
cpd:C00095,D-Fructose,C6H12O6,3395,C([C@@H]1[C@H]([C@@H](C(O1)(CO)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001100000111000010000000100001001000000000010001100110000111100100100010110101010000110,439163.0
cpd:C00247,L-Sorbose,C6H12O6,3546,C1[C@@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000100001001000000000010001010110000111100100100010110101010001110,439192.0
cpd:C00392,Mannitol,C6H14O6,3682,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000000000000110000011100000100000110101010000100,6251.0
